      key      ,     value 
key0000000090201,value00000090201
key0000000015611,value00000015611
key0000000058594,value00000058594
key0000000095583,value00000095583
key0000000068534,value00000068534
key0000000046265,value00000046265
key0000000003291,value00000003291
key0000000040084,value00000040084
key0000000010871,value00000010871
key0000000099429,value00000099429
key0000000053336,value00000053336
key0000000085019,value00000085019
key0000000032396,value00000032396
key0000000063864,value00000063864
key0000000062617,value00000062617
key0000000081178,value00000081178
key0000000061427,value00000061427
key0000000035616,value00000035616
key0000000051635,value00000051635
key0000000072328,value00000072328
key0000000033335,value00000033335
key0000000007896,value00000007896
key0000000081700,value00000081700
key0000000003141,value00000003141
key0000000035949,value00000035949
key0000000041126,value00000041126
key0000000064099,value00000064099
key0000000010164,value00000010164
key0000000014878,value00000014878
key0000000052282,value00000052282
key0000000033733,value00000033733
key0000000061315,value00000061315
key0000000013414,value00000013414
key0000000033631,value00000033631
key0000000044516,value00000044516
key0000000096660,value00000096660
key0000000005066,value00000005066
key0000000040757,value00000040757
key0000000081677,value00000081677
key0000000092367,value00000092367
key0000000050590,value00000050590
key0000000046623,value00000046623
key0000000055303,value00000055303
key0000000027463,value00000027463
key0000000017765,value00000017765
key0000000016539,value00000016539
key0000000083257,value00000083257
key0000000072638,value00000072638
key0000000082982,value00000082982
key0000000041062,value00000041062
key0000000059413,value00000059413
key0000000095037,value00000095037
key0000000006029,value00000006029
key0000000004638,value00000004638
key0000000098226,value00000098226
key0000000044872,value00000044872
key0000000012375,value00000012375
key0000000027386,value00000027386
key0000000013537,value00000013537
key0000000061187,value00000061187
key0000000014026,value00000014026
key0000000077410,value00000077410
key0000000047070,value00000047070
key0000000034834,value00000034834
key0000000013491,value00000013491
key0000000093412,value00000093412
key0000000059825,value00000059825
key0000000066389,value00000066389
key0000000009121,value00000009121
key0000000093828,value00000093828
key0000000049924,value00000049924
key0000000085007,value00000085007
key0000000067976,value00000067976
key0000000019405,value00000019405
key0000000023952,value00000023952
key0000000097350,value00000097350
key0000000065353,value00000065353
key0000000016482,value00000016482
key0000000025731,value00000025731
key0000000035978,value00000035978
key0000000011625,value00000011625
key0000000062916,value00000062916
key0000000095153,value00000095153
key0000000080207,value00000080207
key0000000070932,value00000070932
